workload,config,timestamp,avg_read_latency_0,controller_impl,domain_0_idle_turns,domain_0_reads,domain_0_turns_served,domain_0_writes,domain_1_idle_turns,domain_1_reads,domain_1_turns_served,domain_1_writes,domain_2_idle_turns,domain_2_reads,domain_2_turns_served,domain_2_writes,domain_3_idle_turns,domain_3_reads,domain_3_turns_served,domain_3_writes,flexprof_dyn_adaptation_events_0,flexprof_dyn_idle_turns_0,flexprof_dyn_read_turns_0,flexprof_dyn_total_turns_0,flexprof_dyn_write_turns_0,flexprof_static_idle_turns_0,flexprof_static_read_turns_0,flexprof_static_total_turns_0,flexprof_static_write_turns_0,memory_system_cycles,num_close_reqs,num_other_reqs_0,num_read_reqs_0,num_write_reqs_0,priority_queue_len_0,priority_queue_len_avg_0,queue_len_0,queue_len_avg_0,read_latency_0,read_queue_len_0,read_queue_len_avg_0,read_row_conflicts_0,read_row_conflicts_core_0,read_row_conflicts_core_1,read_row_conflicts_core_2,read_row_conflicts_core_3,read_row_conflicts_core_4,read_row_conflicts_core_5,read_row_conflicts_core_6,read_row_conflicts_core_7,read_row_hits_0,read_row_hits_core_0,read_row_hits_core_1,read_row_hits_core_2,read_row_hits_core_3,read_row_hits_core_4,read_row_hits_core_5,read_row_hits_core_6,read_row_hits_core_7,read_row_misses_0,read_row_misses_core_0,read_row_misses_core_1,read_row_misses_core_2,read_row_misses_core_3,read_row_misses_core_4,read_row_misses_core_5,read_row_misses_core_6,read_row_misses_core_7,row_conflicts_0,row_hits_0,row_misses_0,total_num_other_requests,total_num_read_requests,total_num_write_requests,total_read_latency_0,trace_num_domains,trace_total_entries,write_queue_len_0,write_queue_len_avg_0,write_row_conflicts_0,write_row_hits_0,write_row_misses_0
domain7,dynamic,20260128_004202,,FlexProfDynamic,0,22,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,,,,12,0,,22,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,22,10,0,8,32,,,,,
domain7,static,20260128_004202,,FlexProfStatic,,22,1,10,,0,0,0,,0,0,0,,0,0,0,,,,,,0,1,1,0,12,0,,22,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,22,10,0,8,32,,,,,
example_sst_trace,baseline,20260128_004202,0,Generic,,,,,,,,,,,,,,,,,,,,,,,,,,23,0,0,39,21,0,0,602,26.173914,0,342,14.869565,0,0,0,0,0,,,,,0,0,0,0,0,,,,,7,7,0,0,0,,,,,0,0,7,0,39,21,,4,60,260,11.304348,0,0,0
example_sst_trace,dynamic,20260128_010656,,FlexProfDynamic,0,12,1,3,0,3,1,12,0,9,0,6,0,15,0,0,0,0,2,2,0,,,,,23,0,,39,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,39,21,0,4,60,,,,,
example_sst_trace,static,20260128_010656,,FlexProfStatic,,12,2,3,,3,0,12,,9,0,6,,15,0,0,,,,,,0,2,2,0,23,0,,39,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,39,21,0,4,60,,,,,
read_heavy_domain0,baseline,20260128_004202,0,Generic,,,,,,,,,,,,,,,,,,,,,,,,,,12,0,0,29,3,0,0,145,12.083333,0,131,10.916667,0,0,,,,,,,,0,0,,,,,,,,6,6,,,,,,,,0,0,6,0,29,3,,1,32,14,1.16666663,0,0,0
read_heavy_domain0,dynamic,20260128_010656,,FlexProfDynamic,0,29,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,,,,12,0,,29,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,29,3,0,1,32,,,,,
read_heavy_domain0,static,20260128_004202,,FlexProfStatic,,29,1,3,,0,0,0,,0,0,0,,0,0,0,,,,,,0,1,1,0,12,0,,29,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,29,3,0,1,32,,,,,
read_heavy_domain1,baseline,20260128_010656,0,Generic,,,,,,,,,,,,,,,,,,,,,,,,,,12,0,0,29,3,0,0,145,12.083333,0,131,10.916667,0,0,0,,,,,,,0,0,0,,,,,,,6,0,6,,,,,,,0,0,6,0,29,3,,2,32,14,1.16666663,0,0,0
read_heavy_domain1,dynamic,20260128_010656,,FlexProfDynamic,0,0,1,0,0,29,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,,,,,12,0,,29,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,29,3,0,2,32,,,,,
read_heavy_domain1,static,20260128_010656,,FlexProfStatic,,0,1,0,,29,0,3,,0,0,0,,0,0,0,,,,,,0,1,1,0,12,0,,29,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,29,3,0,2,32,,,,,
read_heavy_domain2,baseline,20260128_010656,0,Generic,,,,,,,,,,,,,,,,,,,,,,,,,,12,0,0,29,3,0,0,145,12.083333,0,131,10.916667,0,0,0,0,,,,,,0,0,0,0,,,,,,6,0,0,6,,,,,,0,0,6,0,29,3,,3,32,14,1.16666663,0,0,0
read_heavy_domain2,dynamic,20260128_010656,,FlexProfDynamic,0,0,1,0,0,0,0,0,0,29,0,3,0,0,0,0,0,0,1,1,0,,,,,12,0,,29,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,29,3,0,3,32,,,,,
read_heavy_domain2,static,20260128_004202,,FlexProfStatic,,0,1,0,,0,0,0,,29,0,3,,0,0,0,,,,,,0,1,1,0,12,0,,29,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,29,3,0,3,32,,,,,
read_heavy_domain3,baseline,20260128_010656,0,Generic,,,,,,,,,,,,,,,,,,,,,,,,,,12,0,0,29,3,0,0,145,12.083333,0,131,10.916667,0,0,0,0,0,,,,,0,0,0,0,0,,,,,6,0,0,0,6,,,,,0,0,6,0,29,3,,4,32,14,1.16666663,0,0,0
read_heavy_domain3,dynamic,20260128_004202,,FlexProfDynamic,0,0,1,0,0,0,0,0,0,0,0,0,0,29,0,3,0,0,1,1,0,,,,,12,0,,29,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,29,3,0,4,32,,,,,
read_heavy_domain3,static,20260128_004202,,FlexProfStatic,,0,1,0,,0,0,0,,0,0,0,,29,0,3,,,,,,0,1,1,0,12,0,,29,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,29,3,0,4,32,,,,,
read_heavy_domain4,baseline,20260128_010656,0,Generic,,,,,,,,,,,,,,,,,,,,,,,,,,12,0,0,29,3,0,0,145,12.083333,0,131,10.916667,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,6,0,0,0,0,6,,,,0,0,6,0,29,3,,5,32,14,1.16666663,0,0,0
read_heavy_domain4,dynamic,20260128_010656,,FlexProfDynamic,0,29,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,,,,12,0,,29,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,29,3,0,5,32,,,,,
read_heavy_domain4,static,20260128_010656,,FlexProfStatic,,29,1,3,,0,0,0,,0,0,0,,0,0,0,,,,,,0,1,1,0,12,0,,29,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,29,3,0,5,32,,,,,
